Time;Value
1670448781862;4
1670448781862;4
1670448781862;3
1670448781862;4
1670448781862;6
1670448781862;4
1670448781862;3
1670448781862;8
1670448781862;4
1670448781862;5
1670448781862;8
1670448781862;6
1670448781862;5
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;3
1670448781862;7
1670448781862;9
1670448781862;11
1670448781862;4
1670448781862;5
1670448781862;13
1670448781862;5
1670448781862;4
1670448781862;9
1670448781862;6
1670448781862;17
1670448781862;10
1670448781862;10
1670448781862;12
1670448781862;10
1670448781862;8
1670448781862;14
1670448781862;4
1670448781862;13
1670448781862;4
1670448781862;4
1670448781862;10
1670448781862;12
1670448781862;21
1670448781862;7
1670448781862;8
1670448781862;15
1670448781862;10
1670448781862;9
1670448781862;8
1670448781862;8
1670448781862;13
1670448781862;11
1670448781862;8
1670448781862;4
1670448781862;7
1670448781862;7
1670448781862;6
1670448781862;4
1670448781862;7
1670448781862;6
1670448781862;9
1670448781862;9
1670448781862;10
1670448781862;7
1670448781862;12
1670448781862;8
1670448781862;6
1670448781862;9
1670448781862;6
1670448781862;16
1670448781862;11
1670448781862;4
1670448781862;4
1670448781862;5
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;5
1670448781862;-1
1670448781862;15
1670448781862;4
1670448781862;6
1670448781862;6
1670448781862;15
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;3
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;4
1670448781862;6
1670448781862;8
1670448781862;7
1670448781862;9
1670448781862;8
1670448781862;10
1670448781862;14
1670448781862;8
1670448781862;7
1670448781862;13
1670448781862;4
1670448781862;5
